0.099877269	8.3644974982
0.1302492053	10.997622537
0.1698534463	14.9424165188
0.1991834828	17.9988570161
0.2388006336	22.6509514032
0.2992472106	30.4406638066
0.3387119739	35.8731481506
0.3989517689	45.145140867
0.4782856044	60.0100964391
0.5940549907	83.3403019372
0.7121812174	112.0012165341
0.8388247148	145.6556500562
0.9967631607	193.6157344714
1.294010218	293.4987514828
1.6873433419	449.8070172959
1.9873809229	591.4052567733
2.3826163986	769.1123345584
2.9724844433	1056.4918789205
3.3793561402	1286.6031488401
3.9803454044	1636.9691298588
4.7719267723	2128.8501152912
5.979824066	2860.9663894799
7.1374722864	3640.0607797084
8.3329210914	4432.8913024181
9.9461109053	5640.0500998461
